[2017/02/13 15:47:18] step 0, training accuracy 0.0173574
[2017/02/13 15:47:18] step 69, training accuracy 0.194488
[2017/02/13 15:47:18] step 70, training accuracy 0.19656
[2017/02/13 15:47:18] step 71, training accuracy 0.197289
[2017/02/13 15:47:18] step 72, training accuracy 0.200674
[2017/02/13 15:47:18] step 73, training accuracy 0.202917
[2017/02/13 15:47:18] step 74, training accuracy 0.205817
[2017/02/13 15:47:18] step 75, training accuracy 0.208203
[2017/02/13 15:47:18] step 76, training accuracy 0.209003
[2017/02/13 15:47:18] step 77, training accuracy 0.213146
[2017/02/13 15:47:18] step 78, training accuracy 0.214889
[2017/02/13 15:47:18] step 79, training accuracy 0.215289
[2017/02/13 15:47:18] step 80, training accuracy 0.220417
[2017/02/13 15:47:18] step 81, training accuracy 0.222175
[2017/02/13 15:47:18] step 82, training accuracy 0.22416
[2017/02/13 15:47:18] step 83, training accuracy 0.226175
[2017/02/13 15:47:18] step 84, training accuracy 0.226903
[2017/02/13 15:47:18] step 85, training accuracy 0.230189
[2017/02/13 15:47:18] step 86, training accuracy 0.233318
[2017/02/13 15:47:18] step 87, training accuracy 0.234218
[2017/02/13 15:47:18] step 88, training accuracy 0.234803
[2017/02/13 15:47:18] step 89, training accuracy 0.237303
[2017/02/13 15:47:18] step 90, training accuracy 0.240532
[2017/02/13 15:47:18] step 91, training accuracy 0.241903
[2017/02/13 15:47:18] step 92, training accuracy 0.245075
[2017/02/13 15:47:18] step 93, training accuracy 0.247775
[2017/02/13 15:47:18] step 94, training accuracy 0.248775
[2017/02/13 15:47:18] step 95, training accuracy 0.250561
[2017/02/13 15:47:18] step 96, training accuracy 0.252946
[2017/02/13 15:47:18] step 97, training accuracy 0.254332
[2017/02/13 15:47:18] step 98, training accuracy 0.255804
[2017/02/13 15:47:18] step 99, training accuracy 0.259289
[2017/02/13 15:47:18] test accuracy 0.259971
